edge_type_id target_query source_query model_template target_sections dynamics_params syn_weight delay distance_range
100 ei=='2e1' * exp2syn "['basal', 'apical', 'somatic']" LGN_ExcToExc.json 0.8 2.0 "[0.0, 1e+20]"
101 ei=='2i1' * exp2syn "['basal', 'apical']" LGN_ExcToInh.json 0.8 2.0 "[0.0, 1e+20]"
