edge_type_id target_query source_query delay distance_range syn_weight dynamics_params target_sections model_template
100 ei=='2e1' * 2.0 "[0.0, 1e+20]" 0.8 LGN_ExcToExc.json "['basal', 'apical', 'somatic']" exp2syn
101 ei=='2i1' * 2.0 "[0.0, 1e+20]" 0.8 LGN_ExcToInh.json "['basal', 'apical']" exp2syn
