edge_type_id target_query source_query dynamics_params delay model_template weight_sigma weight_function syn_weight distance_range target_sections
126 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L5'&ei=='2e1' ExcToInh.json 1.4 exp2syn 10.0 gaussianLL_Inter_Layer 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
127 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L5'&ei=='2e1' ExcToInh.json 1.4 exp2syn 5.0 gaussianLL_Inter_Layer 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
128 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Inter_Layer 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
129 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='PV1'&ei=='2i1' InhToExc.json 0.8 exp2syn 15.0 gaussianLL_Inter_Layer 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
130 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' InhToInh.json 1.1 exp2syn 15.0 gaussianLL_Inter_Layer 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
131 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
132 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 0.000792 "[0.0, 1e+20]" ['basal']
133 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='Sst'&ei=='2i1' InhToExc.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 0.0024 "[0.0, 1e+20]" "['basal', 'apical']"
134 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='VIP'&ei=='2i1' InhToExc.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 4.7999999999999994e-05 "[0.0, 1e+20]" "['basal', 'apical']"
135 location=='L5'&pop_name=='Sst'&ei=='2i1' location=='L5'&pop_name=='VIP'&ei=='2i1' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 0.047999999999999994 "[0.0, 1e+20]" ['basal']
136 location=='L6'&ei=='2e1' location=='L6'&ei=='2e1' ExcToExc.json 1.8 exp2syn 5.0 gaussianLL_Inter_Layer 0.00035 "[0.0, 1e+20]" "['basal', 'apical']"
137 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L6'&ei=='2e1' ExcToInh.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
138 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L6'&ei=='2e1' ExcToInh.json 1.7 exp2syn 10.0 gaussianLL_Inter_Layer 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
139 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L6'&ei=='2e1' ExcToInh.json 1.7 exp2syn 5.0 gaussianLL_Inter_Layer 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
140 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' InhToInh.json 1.8 exp2syn 15.0 gaussianLL_Inter_Layer 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
141 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='PV1'&ei=='2i1' InhToExc.json 1.1 exp2syn 15.0 gaussianLL_Inter_Layer 0.0024 "[0.0, 1e+20]" "['somatic', 'basal', 'apical']"
142 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Inter_Layer 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
143 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' InhToInh.json 1.7 exp2syn 15.0 gaussianLL_Inter_Layer 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
144 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' InhToInh.json 1.7 exp2syn 15.0 gaussianLL_Inter_Layer 0.000792 "[0.0, 1e+20]" ['basal']
145 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='Sst'&ei=='2i1' InhToExc.json 1.7 exp2syn 15.0 gaussianLL_Inter_Layer 0.0024 "[0.0, 1e+20]" "['basal', 'apical']"
146 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='VIP'&ei=='2i1' InhToExc.json 1.7 exp2syn 15.0 gaussianLL_Inter_Layer 4.7999999999999994e-05 "[0.0, 1e+20]" "['basal', 'apical']"
147 location=='L6'&pop_name=='Sst'&ei=='2i1' location=='L6'&pop_name=='VIP'&ei=='2i1' InhToInh.json 1.7 exp2syn 15.0 gaussianLL_Inter_Layer 0.047999999999999994 "[0.0, 1e+20]" ['basal']
148 location=='L4'&ei=='2e1' location=='L2'&ei=='2e1' ExcToExc.json 1.6 exp2syn 5.0 gaussianLL_Laminar 0.00035 "[0.0, 1e+20]" "['basal', 'apical']"
149 location=='L5'&ei=='2e1' location=='L2'&ei=='2e1' ExcToExc.json 1.8 exp2syn 5.0 gaussianLL_Laminar 0.0007 "[0.0, 1e+20]" "['basal', 'apical']"
150 location=='L6'&ei=='2e1' location=='L2'&ei=='2e1' ExcToExc.json 4.9 exp2syn 5.0 gaussianLL_Laminar 0.00035 "[0.0, 1e+20]" "['basal', 'apical']"
151 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' ExcToInh.json 1.2 exp2syn 15.0 gaussianLL_Laminar 0.006 "[0.0, 1e+20]" "['somatic', 'basal']"
152 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' ExcToInh.json 1.5 exp2syn 10.0 gaussianLL_Laminar 0.00375 "[0.0, 1e+20]" "['somatic', 'basal']"
153 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' ExcToInh.json 1.5 exp2syn 5.0 gaussianLL_Laminar 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
154 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' ExcToInh.json 1.4 exp2syn 15.0 gaussianLL_Laminar 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
155 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' ExcToInh.json 1.7 exp2syn 10.0 gaussianLL_Laminar 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
156 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' ExcToInh.json 1.7 exp2syn 5.0 gaussianLL_Laminar 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
157 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' ExcToInh.json 4.5 exp2syn 15.0 gaussianLL_Laminar 0.003 "[0.0, 1e+20]" "['somatic', 'basal']"
158 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' ExcToInh.json 4.8 exp2syn 10.0 gaussianLL_Laminar 0.001875 "[0.0, 1e+20]" "['somatic', 'basal']"
159 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' ExcToInh.json 4.8 exp2syn 5.0 gaussianLL_Laminar 0.0015 "[0.0, 1e+20]" "['somatic', 'basal']"
160 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Laminar 0.000792 "[0.0, 1e+20]" ['basal']
161 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.7 exp2syn 15.0 gaussianLL_Laminar 0.000792 "[0.0, 1e+20]" ['basal']
162 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToInh.json 4.8 exp2syn 15.0 gaussianLL_Laminar 0.000792 "[0.0, 1e+20]" ['basal']
163 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.5 exp2syn 15.0 gaussianLL_Laminar 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
164 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToInh.json 1.7 exp2syn 15.0 gaussianLL_Laminar 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
165 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' InhToInh.json 4.8 exp2syn 15.0 gaussianLL_Laminar 0.0018479999999999998 "[0.0, 1e+20]" ['basal']
166 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.2 exp2syn 15.0 gaussianLL_Laminar 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
167 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.4 exp2syn 15.0 gaussianLL_Laminar 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
168 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToInh.json 4.5 exp2syn 15.0 gaussianLL_Laminar 0.0005279999999999999 "[0.0, 1e+20]" "['somatic', 'basal']"
169 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.6 exp2syn 15.0 gaussianLL_Laminar 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
170 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' InhToInh.json 1.8 exp2syn 15.0 gaussianLL_Laminar 0.002424 "[0.0, 1e+20]" "['somatic', 'basal']"
