edge_type_id target_query source_query syn_weight target_sections model_template delay distance_range dynamics_params
100 ei=='2e1' * 0.8 "['basal', 'apical', 'somatic']" exp2syn 2.0 "[0.0, 1e+20]" LGN_ExcToExc.json
101 ei=='2i1' * 0.8 "['basal', 'apical']" exp2syn 2.0 "[0.0, 1e+20]" LGN_ExcToInh.json
