edge_type_id target_query source_query dynamics_params syn_weight target_sections distance_range model_template delay
100 ei=='2e1' * LGN_ExcToExc.json 0.8 "['basal', 'apical', 'somatic']" "[0.0, 1e+20]" exp2syn 2.0
101 ei=='2i1' * LGN_ExcToInh.json 0.8 "['basal', 'apical']" "[0.0, 1e+20]" exp2syn 2.0
