edge_type_id target_query source_query weight_sigma syn_weight target_sections dynamics_params distance_range model_template delay weight_function
100 ei=='2e1'&location=='L4' * 35.0 0.003 "['basal', 'apical']" lgn_ExcToExc.json "[0.0, 1e+20]" exp2syn 2.0 gaussianLL0T1
101 ei=='2e1'&location=='L4' * NULL 6e-06 "['basal', 'apical', 'somatic']" lgn_ExcToExc.json "[0.0, 1e+20]" exp2syn 2.0 NULL
102 ei=='2i1'&location=='L4'&pop_name=='PV1' * 40.0 0.3 "['basal', 'apical']" lgn_ExcToInh.json "[0.0, 1e+20]" exp2syn 2.0 gaussianLL0T1
103 ei=='2i1'&location=='L4'&pop_name=='PV1' * NULL 5e-05 "['basal', 'apical']" lgn_ExcToInh.json "[0.0, 1e+20]" exp2syn 2 NULL
104 ei=='2i1'&location=='L4'&pop_name=='Sst' * 38.0 0.025 "['basal', 'apical']" lgn_ExcToInh.json "[0.0, 1e+20]" exp2syn 2.0 gaussianLL0T1
105 ei=='2i1'&location=='L4'&pop_name=='Sst' * NULL 5e-05 "['basal', 'apical']" lgn_ExcToInh.json "[0.0, 1e+20]" exp2syn 2 NULL
