edge_type_id target_query source_query delay syn_weight distance_range target_sections model_template dynamics_params
100 ei=='2e1' * 2.0 0.8 "[0.0, 1e+20]" "['basal', 'apical', 'somatic']" exp2syn LGN_ExcToExc.json
101 ei=='2i1' * 2.0 0.8 "[0.0, 1e+20]" "['basal', 'apical']" exp2syn LGN_ExcToInh.json
