channel x_pos y_pos z_pos
0 60 45 20
1 60 50 20
2 60 55 20
3 60 60 20
4 60 65 20
5 60 70 20
6 60 75 20
7 60 80 20
8 60 85 20
9 60 90 20
10 60 100 20
11 60 150 20
